NTACode,NTAName,area_km2,flood_area_km2,clim_flood_share
BX1101,Pelham Parkway-Van Nest,15.588354060147251,0.0,0.0
BX1103,Pelham Gardens,30.064150447815518,0.0,0.0
BX1104,Allerton,15.754089471198613,0.0,0.0
BX1271,Woodlawn Cemetery,17.88630184998692,0.0,0.0
MN0202,Greenwich Village,10.602960821527793,0.0,0.0
MN0501,Midtown South-Flatiron-Union Square,14.87907022870242,0.0,0.0
MN0502,Midtown-Times Square,24.55252376384786,0.0,0.0
MN0602,Gramercy,7.526025760019664,0.0,0.0
MN0802,Upper East Side-Carnegie Hill,20.06534660527404,0.0,0.0
MN1001,Harlem (South),14.426365718834651,0.0,0.0
MN6491,Central Park,38.31237319066255,0.0,0.0
QN0103,Astoria (Central),21.084804506932773,0.0,0.0
QN0104,Astoria (East)-Woodside (North),26.042004014868677,0.0,0.0
QN0161,Sunnyside Yards (North),4.500278577613182,0.0,0.0
QN0171,St. Michael's Cemetery,4.388671035791507,0.0,0.0
QN0203,Woodside,32.95011007334024,0.0,0.0
QN0271,Calvary & Mount Zion Cemeteries,14.29182878330386,0.0,0.0
QN0301,Jackson Heights,39.316491559041516,0.0,0.0
QN0401,Elmhurst,42.10246888507631,0.0,0.0
QN0503,Glendale,30.006611783884523,0.0,0.0
QN0504,Middle Village,34.943562839115934,0.0,0.0
QN0571,Mount Olivet & All Faiths Cemeteries,7.646821854315588,0.0,0.0
QN0572,Middle Village Cemetery,5.511539610517379,0.0,0.0
QN0573,St. John Cemetery,8.754144281162034,0.0,0.0
QN0574,Highland Park-Cypress Hills Cemeteries (North),31.22720835765518,0.0,0.0
QN0601,Rego Park,20.193415483273608,0.0,0.0
QN0705,East Flushing,31.660039723651657,0.0,0.0
QN0706,Queensboro Hill,26.42778900040536,0.0,0.0
QN0791,Kissena Park,11.01620846261344,0.0,0.0
QN0801,Kew Gardens Hills,34.304445560412965,0.0,0.0
QN0802,Pomonok-Electchester-Hillcrest,36.9742574626129,0.0,0.0
QN0803,Fresh Meadows-Utopia,33.196145158818766,0.0,0.0
QN0804,Jamaica Estates-Holliswood,39.41072828227162,0.0,0.0
QN0805,Jamaica Hills-Briarwood,27.64530595649711,0.0,0.0
QN0891,Cunningham Park,21.3049466955444,0.0,0.0
QN0901,Kew Gardens,20.284965735741928,0.0,0.0
QN0902,Richmond Hill,30.269839429180433,0.0,0.0
QN0903,South Richmond Hill,15.849181681104477,0.0,0.0
QN0904,Ozone Park (North),18.087352473988798,0.0,0.0
QN0905,Woodhaven,23.727565487419014,0.0,0.0
QN1001,South Ozone Park,81.83679637891984,0.0,0.0
QN1002,Ozone Park,25.107837233578874,0.0,0.0
QN1101,Auburndale,55.46411716539477,0.0,0.0
