NTACode,NTAName,complaint_count,area_km2,util_outage_density
SI0103,Rosebank-Shore Acres-Park Hill,5,3.2728050887454923,1.5277414524910078
SI0104,West New Brighton-Silver Lake-Grymes Hill,20,7.924876011018739,2.523698790011607
SI0105,Westerleigh-Castleton Corners,16,7.105044224108118,2.251921240083266
SI0106,Port Richmond,15,3.364274108852503,4.458614106540875
SI0107,Mariner's Harbor-Arlington-Graniteville,29,8.298901593761427,3.4944383509499994
SI0191,Snug Harbor,0,0.3498615366363881,0.0
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,24,7.437853760049259,3.2267372785561537
SI0202,New Dorp-Midland Beach,6,5.7728162493746344,1.0393540588876315
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,5,17.297252170822443,0.28906325412970274
SI0204,New Springville-Willowbrook-Bulls Head-Travis,5,19.439412283456537,0.25720942213130255
SI0291,Freshkills Park (North),1,6.329596738122117,0.15798794794890567
SI0301,Oakwood-Richmondtown,1,5.193252867257207,0.1925575406321675
SI0302,Great Kills-Eltingville,16,10.838657111972394,1.47619763543644
SI0303,Arden Heights-Rossville,2,6.292015922976774,0.31786314982079594
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,10,16.750480176333536,0.5969978110913398
SI0305,Tottenville-Charleston,3,11.769286710491418,0.25490074919542316
SI0391,Freshkills Park (South),0,4.433836901256857,0.0
SI9561,Fort Wadsworth,0,0.916097478519395,0.0
SI9591,Hoffman & Swinburne Islands,0,0.059020230179383563,0.0
SI9592,Miller Field,0,1.0088868226757444,0.0
SI9593,Great Kills Park,0,2.1704814859797894,0.0
